file_name,initial_velocity_cgs,weber,bond,ohnesorge,parent_folder,number_of_harmonics,contact_time_ms_00R,contact_time_ms002R,coef_restitution00R,coef_restitution002R,max_contact_radius_cm_00R,max_contact_radius_cm_002R
directComparison20250107T182544-5.mat,-4.93260894724196,0.0231,0.019,0.0303,"Version v3 (rhoS=8.70e-01, sigmaS=1.87e+01, R=2.04e-02)",90,2.13526184831551,2.26375094305619,0.902908018466069,0.899419980609144,0.00683665431926986,0.0095629473024573
directComparison20250107T182544.mat,-16.3241642914141,0.253,0.019,0.0303,"Version v3 (rhoS=8.70e-01, sigmaS=1.87e+01, R=2.04e-02)",90,1.64557144921894,1.68655741536302,0.826572799555483,0.825995222391589,0.0114348142842644,0.0141193113114926
HighWeSweep20241110T150017.mat,-45.8134813647345,1.99526231496888,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.36964278498828,1.38866332878027,0.623899736173718,0.623899736173718,0.0180864595758848,0.0206082560968701
HighWeSweep20241110T150306.mat,-57.6757558928228,3.16227766016838,0.0189312135804878,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.32428961642438,1.34101777390161,0.571270887440965,0.571129646344252,0.0199580623261666,0.0225251864170912
HighWeSweep20241110T150316.mat,-36.3909417790234,1.25892541179417,0.0189312135804878,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.42209670216572,1.4440972755277,0.673084050145782,0.672839460495552,0.0163856542144232,0.0189300758298301
HighWeSweep20241110T150850.mat,-36.3909417790234,1.25892541179417,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.42003519450372,1.44203576618751,0.675630331076232,0.675630331076232,0.0163422696594515,0.0188780903809097
HighWeSweep20241111T105035.mat,-51.4035715470512,2.51188643150958,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.34582091867189,1.36369521669305,0.598206950338322,0.598206950338322,0.0189985441697219,0.0215310805574171
HighWeSweep20241111T105045.mat,-40.8313082454925,1.58489319246111,0.0189312135804878,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.39598427178044,1.41660929293867,0.647504901586087,0.647290499545711,0.0172362019781526,0.0197673847882744
HighWeSweep20241111T105055.mat,-57.6757558928228,3.16227766016838,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.32314433438994,1.3398724914457,0.572877725701682,0.572877725701682,0.0199241820421794,0.022492444484368
HighWeSweep20241111T105123.mat,-72.6094747379118,5.01187233627272,0.0189312135804878,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.28162786064142,1.29629306245027,0.522862161355873,0.522757149737043,0.0219176522756714,0.0245183298473834
HighWeSweep20241111T125603.mat,-45.8134813647345,1.99526231496888,0.0189312135804878,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.37101712342961,1.39026672446949,0.621859916722832,0.621672669252542,0.0181194376854885,0.0206441504264793
HighWeSweep20241111T125615.mat,-40.8313082454925,1.58489319246111,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.39415182052534,1.41477684049556,0.649809002591078,0.649809002591078,0.0172009683359325,0.0197227005282815
HighWeSweep20241111T125619.mat,-51.4035715470512,2.51188643150958,0.0189312135804878,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.34719525711322,1.36506955572974,0.596398155820785,0.59623524117943,0.0190328033792431,0.0215639073865785
HighWeSweep20241111T125922.mat,-81.4691706131093,6.30957344480194,0.0189312135804878,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.26192900964902,1.27567737769207,0.499840647494209,0.49975056843203,0.023020531232542,0.0255796603632922
HighWeSweep20241111T130108.mat,-72.6094747379118,5.01187233627272,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.28094069142076,1.29560589301838,0.524115708586329,0.524115708586329,0.0219024066938426,0.0244894055330985
HighWeSweep20241111T130139.mat,-91.4099128845838,7.94328234724282,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.24245921506352,1.25529081538068,0.478645392893971,0.478645392893971,0.0241060319907141,0.0267247372102544
HighWeSweep20241111T165929.mat,-81.4691706131093,6.30957344480194,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.26124184042836,1.27499020832188,0.500929707405431,0.500929707405431,0.0230022751266621,0.0255632257008843
HighWeSweep20241111T170237.mat,-64.7132624775624,3.98107170553497,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.30155576804071,1.317137877539,0.548139415390012,0.548139415390012,0.0208560934425705,0.0234882595505706
HighWeSweep20241111T170430.mat,-64.7132624775624,3.98107170553497,0.0189312135804878,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.30247199366826,1.31805410346493,0.546725603964054,0.546603607499943,0.0208877499193049,0.0235140838427521
HighWeSweep20241111T170704.mat,-91.4099128845838,7.94328234724282,0.0189312135804878,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.24291732787729,1.2559779847072,0.47769400285219,0.477616975203964,0.0241271868950492,0.0267391729002039
HighWeSweep20241111T170740.mat,-102.563609162638,10,0.0189312135804878,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.22482187173312,1.23719487629907,0.456350720036027,0.45628502076792,0.0252003813574856,0.027941484138019
HighWeSweep20241111T190419.mat,-102.563609162638,10,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.22436375891935,1.23650770700346,0.457167339569373,0.457167339569373,0.0251765469642663,0.0279275938549068
WeOhSweep20241108T213015.mat,-0.115078262220294,1.25892541179417e-05,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,3.09684262113007,NaN,0.968737127315004,NaN,0.000841078352967096,0.00436295823942436
WeOhSweep20241108T213318.mat,-0.115078262220294,1.25892541179417e-05,0.0189312135804878,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,NaN,NaN,NaN,NaN,0.00332721449268897,0.00642038103832639
WeOhSweep20241108T213616.mat,-0.12911993390017,1.58489319246111e-05,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,3.08195395468233,NaN,0.968737119297035,NaN,0.00101440859574605,0.00440492261737585
WeOhSweep20241108T213617.mat,-0.102563609162638,1e-05,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,3.11333468242603,NaN,0.968737128759134,NaN,0.000754712882386786,0.00432090802407254
WeOhSweep20241108T213903.mat,-0.102563609162638,1e-05,0.0189312135804878,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,NaN,NaN,NaN,NaN,0.00332717853646139,0.00642032427854451
WeOhSweep20241108T214040.mat,-0.257628138222282,6.30957344480193e-05,0.0189312135804878,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,NaN,NaN,NaN,NaN,0.00339587917253291,0.00645846443412741
WeOhSweep20241108T214158.mat,-0.514035715470512,0.000251188643150958,0.0189312135804878,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,3.88662911208119,NaN,0.724924296542598,NaN,0.00364180819788415,0.00661078642284453
WeOhSweep20241108T214345.mat,-1.02563609162638,0.001,0.0189312135804878,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,3.2125161066087,3.9238085215843,0.883910338899258,0.313774786930578,0.00394771152013426,0.00694965843850797
WeOhSweep20241108T214527.mat,-2.04641304249408,0.00398107170553497,0.0189312135804878,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,2.69782636033052,2.93465047941908,0.908116099404927,0.88514241140351,0.00501475980433673,0.00776140602678742
WeOhSweep20241108T215004.mat,-0.257628138222282,6.30957344480193e-05,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,2.91382655202626,4.53941239168067,0.967009594570671,0.967009594570671,0.00135688231038881,0.00465120533798642
WeOhSweep20241108T215116.mat,-0.514035715470512,0.000251188643150958,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,2.75005122110107,3.50329134611636,0.958041355842176,0.958041355842176,0.00195465975515428,0.0050988862948135
WeOhSweep20241108T215315.mat,-1.02563609162638,0.001,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,2.54802347022552,2.97698385941798,0.947436447680662,0.947436447680662,0.00268989337107028,0.00581113482131462
WeOhSweep20241108T215456.mat,-2.04641304249408,0.00398107170553497,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,2.32538064273002,2.59013918860694,0.936579724619408,0.936579724619408,0.00394688431943067,0.00691275550470522
WeOhSweep20241108T215907.mat,-0.229611319880259,5.01187233627272e-05,0.0189312135804878,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,NaN,NaN,NaN,NaN,0.00332779288760451,0.00645808682589083
WeOhSweep20241108T220027.mat,-0.458134813647345,0.000199526231496888,0.0189312135804878,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,4.00138637193226,NaN,0.66348850102027,NaN,0.00355820080721621,0.00657259671748548
WeOhSweep20241108T220304.mat,-0.914099128845838,0.000794328234724282,0.0189312135804878,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,3.31834016659113,NaN,0.870574257442728,NaN,0.00388772561067135,0.00687622765152871
WeOhSweep20241108T220340.mat,-1.82386754393198,0.00316227766016838,0.0189312135804878,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,2.77433120023124,3.03569331760364,0.90899116696203,0.878373435036286,0.00455020027974272,0.00757689595320039
WeOhSweep20241108T220821.mat,-0.229611319880259,5.01187233627272e-05,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,2.94474916695619,NaN,0.968437782687437,NaN,0.00127445762161723,0.0046105888970875
WeOhSweep20241108T220944.mat,-0.458134813647345,0.000199526231496888,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,2.7848677949481,3.62868157432324,0.958342937146314,0.958342937146314,0.00195545110689526,0.00501917633722375
WeOhSweep20241108T221226.mat,-0.914099128845838,0.000794328234724282,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,2.58719211580344,3.0514754928942,0.948825875013776,0.948825875013776,0.00261912468156483,0.00569410780996454
WeOhSweep20241108T221326.mat,-1.82386754393198,0.00316227766016838,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,2.36294589345972,2.65567352894062,0.937840870491409,0.937840870491409,0.00389481887016818,0.0067257937724917
WeOhSweep20241108T221720.mat,-0.204641304249408,3.98107170553497e-05,0.0189312135804878,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,NaN,NaN,NaN,NaN,0.00332764623122154,0.00645779444549053
WeOhSweep20241108T221847.mat,-0.408313082454925,0.000158489319246111,0.0189312135804878,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,4.11339495490068,NaN,0.577253669746342,NaN,0.00347674254741779,0.00653479460190487
WeOhSweep20241108T222154.mat,-0.814691706131093,0.000630957344480193,0.0189312135804878,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,3.42622573423555,NaN,0.854107613444536,NaN,0.00389051673152084,0.00680232245779628
WeOhSweep20241108T222214.mat,-1.62552365956107,0.00251188643150958,0.0189312135804878,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,2.85564622467661,3.14933958988856,0.908071403224428,0.865366150966381,0.00449730213744397,0.00743047599645932
WeOhSweep20241108T222634.mat,-0.204641304249408,3.98107170553497e-05,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,2.97750423314123,NaN,0.969536654514079,NaN,0.00127430432608234,0.0045698972965338
WeOhSweep20241108T222810.mat,-0.408313082454925,0.000158489319246111,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,2.8125836201816,3.77332430007121,0.958982700941172,0.958982700941172,0.0018696697581893,0.00493823090587399
WeOhSweep20241108T223115.mat,-0.814691706131093,0.000630957344480193,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,2.62223774605736,3.12849264048853,0.949454046218571,0.949454046218571,0.00262037168651978,0.00557775395981301
WeOhSweep20241108T223201.mat,-1.62552365956107,0.00251188643150958,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,2.40005303137563,2.71594252573417,0.940209899362704,0.940209899362704,0.00340031702015148,0.00650163708588069
WeOhSweep20241108T223536.mat,-0.182386754393198,3.16227766016838e-05,0.0189312135804878,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,NaN,NaN,NaN,NaN,0.00332752220396787,0.00645754610476661
WeOhSweep20241108T223708.mat,-0.363909417790234,0.000125892541179417,0.0189312135804878,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,4.24830917855793,NaN,0.445164357785978,NaN,0.00339763327449748,0.00649711463853072
WeOhSweep20241108T224038.mat,-0.726094747379119,0.000501187233627273,0.0189312135804878,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,3.53502752750753,NaN,0.833381603521817,NaN,0.00389201000629094,0.00672807612771668
WeOhSweep20241108T224058.mat,-1.4487494865424,0.00199526231496888,0.0189312135804878,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,2.94085520803909,3.2785688168365,0.905740727567967,0.842872264434901,0.00450039274315725,0.00732221354560446
WeOhSweep20241108T224443.mat,-0.182386754393198,3.16227766016838e-05,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,3.01140458136071,NaN,0.970092267216505,NaN,0.001274292906433,0.00452912035111927
WeOhSweep20241108T224629.mat,-0.363909417790234,0.000125892541179417,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,2.83480209164977,3.93286888648861,0.961050183353428,0.961050183353428,0.00152497273129074,0.00485622262049577
WeOhSweep20241108T224957.mat,-0.726094747379119,0.000501187233627273,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,2.6508697969184,3.20437111882389,0.951843855208026,0.951843855208026,0.0022798162099058,0.00541869357904725
WeOhSweep20241108T225046.mat,-1.4487494865424,0.00199526231496888,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,2.44036695898799,2.78033785209034,0.941787360073127,0.941787360073127,0.00326546523335203,0.00631241494950649
WeOhSweep20241108T225343.mat,-0.162552365956107,2.51188643150958e-05,0.0189312135804878,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,NaN,NaN,NaN,NaN,0.00332741001667142,0.00645732427939901
WeOhSweep20241108T225524.mat,-0.324334610001251,0.0001,0.0189312135804878,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,NaN,NaN,NaN,NaN,0.00339710116213617,0.00649621794761408
WeOhSweep20241108T225922.mat,-0.647132624775624,0.000398107170553497,0.0189312135804878,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,3.64749422328972,NaN,0.80651671483686,NaN,0.00389165622947173,0.00668927683885571
WeOhSweep20241108T230003.mat,-1.2911993390017,0.00158489319246111,0.0189312135804878,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,3.02446079655334,3.42979758727307,0.901623934133226,0.801037254603744,0.0043387432169152,0.00717248497657874
WeOhSweep20241108T230246.mat,-0.162552365956107,2.51188643150958e-05,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,3.04667926802152,NaN,0.969256316914106,NaN,0.00127451250784854,0.0044882312657986
WeOhSweep20241108T230446.mat,-0.324334610001251,0.0001,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,2.85885301437305,4.11716636901019,0.963163739319278,0.963163739319278,0.00143968281949097,0.0047741039656944
WeOhSweep20241108T230838.mat,-0.647132624775624,0.000398107170553497,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,2.68179241184833,3.29216794997355,0.954346215381531,0.954346215381531,0.00203121962721163,0.00529865492526767
WeOhSweep20241108T230951.mat,-1.2911993390017,0.00158489319246111,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,2.4774740969039,2.84863085600055,0.942743065504961,0.942743065504961,0.00326707848234607,0.00616062182787217
